condition,experiment,speed,session_length,meta,seed,hmm_accuracy,total_pnl,sharpe,n_vetoes,n_retrains,detection_lag,acc_trending,acc_mean_reverting,acc_volatile,lag_trending_to_mean_rev,lag_trending_to_volatile,lag_mean_rev_to_trending,lag_mean_rev_to_volatile,lag_volatile_to_trending,lag_volatile_to_mean_rev,pnl_when_correct,pnl_when_incorrect,avg_pnl_correct,avg_pnl_incorrect,conf_at_transition,conf_at_stable
sesslen_120,session_sweep,medium,120.0,False,44178227,0.5823,2182.0,0.228,51,0,1.62,0.3448,0.7419,0.6842,1.0,2.0,3.0,1.0,1.0,1.0,972.0,1210.0,88.36,71.18,0.8769,0.9309
sesslen_120,session_sweep,medium,120.0,False,359134096,0.481,2908.0,0.2467,39,0,2.6,0.4242,0.2759,0.9412,0.0,0.0,1.0,1.0,0.0,5.0,2276.0,632.0,162.57,24.31,0.9389,0.9678
very_fast_nometa,speed_sweep,very_fast,300.0,False,1251377388,0.7722,2114.0,0.1964,46,0,1.17,0.7586,0.5417,1.0,1.125,1.0,1.167,1.0,1.429,1.5,1440.0,674.0,96.0,37.44,0.9959,0.9863
sesslen_60,session_sweep,medium,60.0,False,206509824,0.6076,2050.0,0.2263,49,0,2.43,0.087,0.6522,0.9394,2.0,1.0,1.0,1.0,6.0,3.0,1650.0,400.0,110.0,26.67,0.9577,0.9546
very_fast_meta,speed_sweep,very_fast,300.0,True,26333175,0.8354,2262.0,0.2253,46,0,1.12,0.8,0.7037,1.0,1.0,1.0,1.167,1.0,1.25,1.333,2262.0,0.0,113.1,0.0,0.9987,0.9831
fast_nometa,speed_sweep,fast,300.0,False,1278695159,0.7848,1910.0,0.2145,36,0,1.5,0.7619,0.6667,0.9474,1.25,1.0,1.333,1.5,2.0,2.0,1304.0,606.0,44.97,43.29,0.9854,0.9875
slow_nometa,speed_sweep,slow,300.0,False,1932979353,0.6076,2344.0,0.2271,38,0,2.5,0.4727,0.8,1.0,1.0,0.0,2.0,0.0,6.0,0.0,1642.0,702.0,82.1,33.43,1.0,0.9333
fast_meta,speed_sweep,fast,300.0,True,1764851065,0.8608,2190.0,0.237,48,0,1.47,0.7143,0.6667,1.0,0.0,1.0,2.0,1.0,2.0,1.833,1356.0,834.0,67.8,75.82,0.9994,0.9992
medium_meta,speed_sweep,medium,300.0,True,1132082232,0.8228,2018.0,0.2408,36,0,1.0,0.7368,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1348.0,670.0,44.93,51.54,0.995,0.9849
slow_meta,speed_sweep,slow,300.0,True,772734878,0.8228,1556.0,0.1757,49,0,1.5,0.0,0.75,0.9592,0.0,0.0,0.0,1.0,0.0,2.0,1556.0,0.0,81.89,0.0,1.0,0.9998
very_fast_nometa,speed_sweep,very_fast,300.0,False,2134161317,0.6076,2012.0,0.1954,27,0,1.17,0.5172,0.2609,1.0,1.5,1.0,1.167,1.0,1.5,1.5,802.0,1210.0,29.7,48.4,0.9594,0.975
sesslen_300,session_sweep,medium,300.0,False,894006284,0.7595,1924.0,0.2154,38,0,1.22,0.8065,0.6538,0.8182,1.0,0.0,1.0,1.667,1.0,0.0,558.0,1366.0,21.46,91.07,0.9697,0.9884
very_fast_nometa,speed_sweep,very_fast,300.0,False,1385020394,0.7848,1860.0,0.2311,47,0,1.11,0.8621,0.5357,1.0,1.0,1.0,1.333,1.0,1.25,1.0,804.0,1056.0,53.6,62.12,0.9974,0.9979
slow_meta,speed_sweep,slow,300.0,True,2047718154,0.5316,1582.0,0.1825,12,3,1.0,1.0,0.0,0.6667,0.0,1.0,1.0,1.0,0.0,0.0,230.0,1352.0,6.97,39.76,0.9948,0.9943
sesslen_60,session_sweep,medium,60.0,False,1738991870,0.6582,1598.0,0.1854,24,0,1.67,0.7812,0.1176,0.8333,2.0,1.0,1.5,0.0,2.0,0.0,1336.0,262.0,39.29,12.48,0.9979,0.939
slow_meta,speed_sweep,slow,300.0,True,1915176589,0.7848,1962.0,0.2142,26,0,1.67,0.7333,0.7826,1.0,1.0,1.0,3.0,0.0,0.0,0.0,946.0,1016.0,26.28,59.76,1.0,0.9719
very_fast_nometa,speed_sweep,very_fast,300.0,False,435912246,0.7089,1938.0,0.1973,44,0,1.21,0.6667,0.5,0.963,1.2,1.125,1.25,1.0,1.0,2.0,618.0,1320.0,51.5,57.39,0.9783,0.9958
very_fast_nometa,speed_sweep,very_fast,300.0,False,456727212,0.8228,2044.0,0.2254,45,0,1.29,0.9048,0.6562,0.9615,1.0,1.167,1.125,1.0,1.0,1.8,2044.0,0.0,102.2,0.0,0.9959,0.9914
sesslen_300,session_sweep,medium,300.0,False,1588352699,0.8608,2098.0,0.2176,39,0,1.38,0.9032,0.75,1.0,1.0,1.0,1.667,0.0,0.0,2.0,1498.0,600.0,51.66,54.55,0.9998,0.9887
fast_meta,speed_sweep,fast,300.0,True,1763520219,0.7089,1958.0,0.2226,27,0,1.6,0.7812,0.3846,1.0,1.75,1.0,1.0,1.0,3.5,1.5,1306.0,652.0,38.41,36.22,0.8824,0.9139
fast_meta,speed_sweep,fast,300.0,True,829455420,0.8228,2568.0,0.2298,44,0,1.31,0.8,0.7143,1.0,1.25,1.0,1.0,1.0,2.0,1.5,1870.0,698.0,89.05,49.86,0.9983,0.9969
very_fast_meta,speed_sweep,very_fast,300.0,True,1480831645,0.6203,2048.0,0.2327,48,2,1.41,0.4783,0.4783,0.8182,1.5,1.2,1.5,1.571,1.5,1.286,1500.0,548.0,93.75,36.53,0.9798,0.9668
fast_nometa,speed_sweep,fast,300.0,False,709387514,0.8354,2092.0,0.2208,43,0,1.41,0.85,0.7222,1.0,1.0,1.0,1.0,1.0,2.5,2.0,1442.0,650.0,62.7,50.0,0.999,0.9907
medium_meta,speed_sweep,medium,300.0,True,849209394,0.8734,2040.0,0.2126,40,0,1.17,0.8571,0.7407,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1340.0,700.0,46.21,70.0,0.9999,0.9811
sesslen_120,session_sweep,medium,120.0,False,919650655,0.7215,2024.0,0.2221,37,0,1.5,0.84,0.3571,1.0,0.0,1.0,1.0,1.0,0.0,2.5,966.0,1058.0,32.2,88.17,0.999,0.9546
very_fast_nometa,speed_sweep,very_fast,300.0,False,1758619341,0.7089,3012.0,0.2482,44,0,1.27,0.8,0.4074,0.9259,1.25,1.2,1.4,1.0,1.0,2.0,1880.0,1132.0,85.45,87.08,0.9882,0.9875
fast_nometa,speed_sweep,fast,300.0,False,80209089,0.8354,2192.0,0.2358,40,0,1.38,0.7647,0.7188,1.0,2.5,1.0,1.333,1.0,0.0,1.333,2192.0,0.0,84.31,0.0,0.9998,0.9991
sesslen_180,session_sweep,medium,180.0,False,174401327,0.8354,2398.0,0.2435,38,0,1.33,0.92,0.75,0.8889,1.0,0.0,2.0,1.0,2.0,1.0,1372.0,1026.0,49.0,78.92,0.9984,0.9875
sesslen_120,session_sweep,medium,120.0,False,21528054,0.6835,2182.0,0.2354,47,0,1.43,0.4324,0.7895,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1428.0,754.0,95.2,44.35,0.9446,0.9456
slow_meta,speed_sweep,slow,300.0,True,1156276703,0.7722,2720.0,0.2235,49,0,2.0,0.0,0.5,0.9388,0.0,0.0,0.0,1.0,0.0,2.5,1986.0,734.0,94.57,81.56,1.0,0.9979
medium_nometa,speed_sweep,medium,300.0,False,830138344,0.8987,2272.0,0.2264,34,0,1.0,0.9167,0.7391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1638.0,634.0,44.27,79.25,0.9983,0.9982
sesslen_180,session_sweep,medium,180.0,False,838121894,0.6076,1774.0,0.2214,48,0,1.62,0.5625,0.7222,0.5862,1.0,1.5,1.0,2.0,2.0,0.0,910.0,864.0,60.67,54.0,0.9479,0.9911
fast_meta,speed_sweep,fast,300.0,True,61846430,0.8101,2064.0,0.2133,47,0,1.35,0.625,0.7273,1.0,1.333,1.0,1.0,1.0,2.25,1.0,1492.0,572.0,78.53,44.0,0.9989,0.9907
fast_meta,speed_sweep,fast,300.0,True,1997564621,0.5823,1594.0,0.208,9,1,1.0,1.0,0.0,0.8421,0.0,1.0,1.0,1.0,1.0,0.0,1370.0,224.0,34.25,7.47,1.0,0.9973
sesslen_180,session_sweep,medium,180.0,False,1301802361,0.8228,2070.0,0.2429,42,0,1.38,0.7714,0.8438,0.9167,1.0,1.0,1.25,0.0,0.0,3.0,2070.0,0.0,86.25,0.0,0.9749,0.9518
medium_nometa,speed_sweep,medium,300.0,False,1595680596,0.6076,1488.0,0.2107,12,0,1.0,0.8718,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,832.0,656.0,22.49,21.87,1.0,1.0
very_fast_nometa,speed_sweep,very_fast,300.0,False,134099601,0.7342,2008.0,0.2153,36,0,1.16,0.7,0.5455,0.9259,1.2,1.125,1.0,1.0,1.333,1.333,760.0,1248.0,33.04,62.4,0.9903,0.9794
sesslen_60,session_sweep,medium,60.0,False,111197933,0.6203,2112.0,0.2471,46,0,1.86,0.4146,0.7778,0.8621,1.0,1.5,0.0,1.0,2.667,0.0,1532.0,580.0,66.61,58.0,0.9456,0.9103
sesslen_300,session_sweep,medium,300.0,False,2170730,0.8734,1966.0,0.2268,36,0,1.29,0.913,0.7037,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1366.0,600.0,41.39,60.0,0.9999,0.998
sesslen_300,session_sweep,medium,300.0,False,543496194,0.8354,2132.0,0.2158,48,0,1.14,0.8,0.7143,1.0,0.0,1.0,1.0,1.0,0.0,1.333,2132.0,0.0,118.44,0.0,0.9999,0.9935
sesslen_60,session_sweep,medium,60.0,False,419000097,0.6582,1930.0,0.2272,43,0,1.89,0.5263,0.5625,0.75,2.0,1.5,0.0,2.0,1.5,2.5,938.0,992.0,39.08,82.67,0.9364,0.8969
sesslen_60,session_sweep,medium,60.0,False,27548795,0.7468,2572.0,0.2336,24,0,1.29,0.9615,0.0526,0.9706,1.0,1.0,0.0,1.5,1.333,0.0,1820.0,752.0,44.39,53.71,0.955,0.9799
medium_nometa,speed_sweep,medium,300.0,False,1796366292,0.5316,1986.0,0.1907,18,0,1.2,0.95,0.0,0.92,0.0,0.0,1.0,1.0,1.5,0.0,1986.0,0.0,70.93,0.0,0.9988,0.986
sesslen_180,session_sweep,medium,180.0,False,792406304,0.5823,1892.0,0.2197,21,0,3.25,0.9655,0.129,0.7368,7.5,1.0,1.5,2.0,1.0,4.0,1558.0,334.0,47.21,13.36,0.9619,0.9536
sesslen_120,session_sweep,medium,120.0,False,1240392340,0.4304,2028.0,0.2352,33,0,1.71,0.5333,0.1,0.6765,0.0,1.0,5.0,2.0,1.0,1.0,816.0,1212.0,45.33,43.29,0.9958,0.9748
